# Which scope defines each documented introspection method, and whether that
# scope's body is C++ or Rexx (Phase 5i Task 0). Derived by
# crates/rexx-exec/tests/introspection_scopes.rs, which re-derives it on every
# run; edit that, never this.
#
# class<TAB>method<TAB>arm<TAB>scope<TAB>kind<TAB>token<TAB>arity
#
# `scope` is the oracle's own answer to `receiver~instanceMethod(NAME)~scope~id`
# -- the behaviour after every InheritInstanceMethods copy, RemoveMethod and
# HideMethod, which is why no file scan can produce this column. The receivers
# are corpus/introspection-receivers.tsv, one probe program per (class, arm).
#
# `token` IS A CITATION, NOT A BODY IDENTITY, in both directions: two tokens
# can name one C++ function and one token can reach several behaviours. Count
# tokens for an upper bound on bodies; never for a count of behaviours.
#
# `arity` is Setup.cpp's third operand verbatim: a literal is a MAXIMUM,
# A_COUNT is Arity::Counted.
#
# Pointer and Buffer are deliberately absent: class-set.txt gives them no
# construction expression, because the reference says instances come only from
# native code (utilityclasses.xml:429, :6910).
#
# Object's (abuttal) and (blank) are deliberately absent: measured on the
# oracle, the book's displayed name reaches no method -- o~'(abuttal)'('x')
# raises 97.1 while o~''('x') and o~' '('x') both answer.
Class	<>	instance	Class	native	RexxClass::notEqual	1
Class	=	instance	Class	native	RexxClass::equal	1
Class	==	instance	Class	native	RexxClass::strictEqual	1
Class	><	instance	Class	native	RexxClass::notEqual	1
Class	\=	instance	Class	rexx	--	--
Class	\==	instance	Class	rexx	--	--
Class	activate	instance	Class	native	RexxObject::initRexx	0
Class	annotation	instance	Class	native	RexxClass::getAnnotationRexx	1
Class	annotations	instance	Class	native	RexxClass::getAnnotations	0
Class	baseClass	instance	Class	native	RexxClass::getBaseClass	0
Class	defaultName	instance	Class	native	RexxClass::defaultNameRexx	0
Class	define	instance	Class	native	RexxClass::defineMethod	2
Class	defineMethods	instance	Class	native	RexxClass::defineMethodsRexx	1
Class	delete	instance	Class	native	RexxClass::deleteMethod	1
Class	enhanced	instance	Class	native	RexxClass::enhanced	A_COUNT
Class	id	instance	Class	native	RexxClass::getId	0
Class	inherit	instance	Class	native	RexxClass::inherit	2
Class	isAbstract	instance	Class	native	RexxClass::isAbstractRexx	0
Class	isMetaclass	instance	Class	native	RexxClass::isMetaClassRexx	0
Class	isSubclassOf	instance	Class	native	RexxClass::isSubclassOf	1
Class	metaClass	instance	Class	native	RexxClass::getMetaClass	0
Class	method	instance	Class	native	RexxClass::method	1
Class	methods	instance	Class	native	RexxClass::methods	1
Class	mixinClass	instance	Class	native	RexxClass::mixinClassRexx	3
Class	new	class	Class	native	RexxClass::newRexx	A_COUNT
Class	package	instance	Class	native	RexxClass::getPackage	0
Class	queryMixinClass	instance	Class	native	RexxClass::queryMixinClass	0
Class	subclass	instance	Class	native	RexxClass::subclassRexx	3
Class	subclasses	instance	Class	native	RexxClass::getSubClasses	0
Class	superClass	instance	Class	native	RexxClass::getSuperClass	0
