# What each documented introspection method does when sent an argument list it
# could accept (Phase 5i Task 0). Derived by
# crates/rexx-exec/tests/introspection_arity.rs; edit that, never this.
#
# class<TAB>method<TAB>arm<TAB>verdict<TAB>evidence
#
# THIS TABLE REPLACES corpus/method-bodies.txt's verdict column for these
# classes. That column sends no arguments, so for a method that needs them it
# records agreement about an arity error. No task in Phase 5i may cite it as
# a reason a row needs no work.
#
#   agree          the oracle and the crate give identical descriptors,
#                  the answered value among them
#   send-differs   the receiver was built on both sides and the send differs
#   setup-differs  one side could not build the receiver, so the row says
#                  nothing about its own method
#   exempt         a committed reason instead of an argument list
#   no-value       the send completed the same way on both sides and returned
#                  no result, so nothing beyond the three descriptors was
#                  compared. It is deliberately not `agree`: a reader sizing
#                  work from it learns that the send is reachable and nothing
#                  about what the method answers.
#   unstable       marked UNSTABLE: -- the oracle does not reproduce its own
#                  answer between two runs, so no value comparison could say
#                  anything. The marker is policed by running the oracle
#                  twice, not by this line.
#
# THE ANSWERED VALUE IS COMPARED HERE, unlike corpus/collection-arity.tsv:
# the probe assigns the send's result and prints `vv~string`, so a row both
# sides complete with different answers reads send-differs rather than agree.
# `Class~enhanced` is the row it exists for: the oracle answers `enhanced K`
# at rc 0, so a crate that completes the send and answers something else was
# invisible to an instrument reading only the exit status and the streams. A
# task closing a row still owes it a witness that reads the answer's own
# contents, which `~string` does not.
#
# The argument lists are corpus/introspection-arguments.tsv and the receivers
# are corpus/introspection-receivers.tsv. A list is only real if the ORACLE
# completes the send; the test makes an oracle run that does not a failure for
# that row.
#
# Pointer's and Buffer's INSTANCE arm is deliberately absent: class-set.txt
# gives them no construction expression, because the reference says instances
# come only from native code (utilityclasses.xml:429, :6910), so every
# instance row of theirs would be setup-differs on the oracle's own side.
# Their class arm is here, marked REFUSED: in the argument file -- the oracle
# answers 93.967 and that refusal is what the row measures.
Buffer	new	class	agree	rc0
Class	<>	instance	agree	rc0
Class	=	instance	agree	rc0
Class	==	instance	agree	rc0
Class	><	instance	agree	rc0
Class	\=	instance	agree	rc0
Class	\==	instance	agree	rc0
Class	activate	instance	no-value	rc0, the send returned no result to compare
Class	annotation	instance	agree	rc0
Class	annotations	instance	agree	rc0
Class	baseClass	instance	agree	rc0
Class	defaultName	instance	agree	rc0
Class	define	instance	no-value	rc0, the send returned no result to compare
Class	defineMethods	instance	no-value	rc0, the send returned no result to compare
Class	delete	instance	no-value	rc0, the send returned no result to compare
Class	enhanced	instance	agree	rc0
Class	id	instance	agree	rc0
Class	inherit	instance	no-value	rc0, the send returned no result to compare
Class	isAbstract	instance	agree	rc0
Class	isMetaclass	instance	agree	rc0
Class	isSubclassOf	instance	agree	rc0
Class	metaClass	instance	agree	rc0
Class	method	instance	agree	rc0
Class	methods	instance	agree	rc0
Class	mixinClass	instance	agree	rc0
Class	new	class	send-differs	oracle rc0 VALUE The C9 class; crate rc120 rexx-exec: method "NEW" of class "Class" is not implemented (Phase 5)
Class	package	instance	agree	rc0
Class	queryMixinClass	instance	agree	rc0
Class	subclass	instance	agree	rc0
Class	subclasses	instance	agree	rc0
Class	superClass	instance	agree	rc0
Class	superClasses	instance	agree	rc0
Class	uninherit	instance	no-value	rc0, the send returned no result to compare
Method	annotation	instance	agree	rc0
Method	annotations	instance	agree	rc0
Method	isAbstract	instance	agree	rc0
Method	isAttribute	instance	agree	rc0
Method	isConstant	instance	agree	rc0
Method	isGuarded	instance	agree	rc0
Method	isPackage	instance	agree	rc0
Method	isPrivate	instance	agree	rc0
Method	isProtected	instance	agree	rc0
Method	loadExternalMethod	class	send-differs	oracle rc0 VALUE The NIL object; crate rc120 rexx-exec: loadExternalMethod naming a library other than REXX is not implemented (Phase 7
Method	new	class	agree	rc0
Method	newFile	class	agree	rc0
Method	package	instance	agree	rc0
Method	scope	instance	agree	rc0
Method	setGuarded	instance	no-value	rc0, the send returned no result to compare
Method	setPrivate	instance	no-value	rc0, the send returned no result to compare
Method	setProtected	instance	no-value	rc0, the send returned no result to compare
Method	setSecurityManager	instance	send-differs	oracle rc0 VALUE 1; crate rc120 rexx-exec: a security manager is not implemented (D12, Phase 7)
Method	setUnguarded	instance	no-value	rc0, the send returned no result to compare
Method	source	instance	agree	rc0
Object	(abuttal)	instance	exempt	the book's displayed name is not a message name -- measured, o~'(abuttal)'('x') raises 97.1 while o~''('x') answers
Object	(blank)	instance	exempt	the book's displayed name is not a message name -- measured, o~'(blank)'('x') raises 97.1 while o~' '('x') answers
Object	<>	instance	agree	rc0
Object	=	instance	agree	rc0
Object	==	instance	agree	rc0
Object	><	instance	agree	rc0
Object	\=	instance	agree	rc0
Object	\==	instance	agree	rc0
Object	class	instance	agree	rc0
Object	copy	instance	agree	rc0
Object	defaultName	instance	agree	rc0
Object	hasMethod	instance	agree	rc0
Object	hashCode	instance	unstable	rc0, the oracle does not reproduce its own answer
Object	identityHash	instance	unstable	rc0, the oracle does not reproduce its own answer
Object	instanceMethod	instance	agree	rc0
Object	instanceMethods	instance	agree	rc0
Object	isA	instance	agree	rc0
Object	isInstanceOf	instance	agree	rc0
Object	isNil	instance	agree	rc0
Object	new	class	exempt	the oracle refuses an argument here -- measured, .Object~new('x') raises 93.902 while .Object~new answers, so Setup.cpp's A_COUNT is a maximum and not a minimum
Object	objectName	instance	agree	rc0
Object	objectName=	instance	no-value	rc0, the send returned no result to compare
Object	request	instance	agree	rc0
Object	run	instance	exempt	private on Object -- measured, a send from outside a method answers 97.2, Object 'a K' cannot accept private message 'RUN' from this context, and self~run from inside one works
Object	send	instance	agree	rc0
Object	sendWith	instance	agree	rc0
Object	setMethod	instance	exempt	private on Object -- measured, a send from outside a method answers 97.2, Object 'a K' cannot accept private message 'SETMETHOD' from this context, and self~setMethod from inside one works
Object	start	instance	agree	rc0
Object	startWith	instance	agree	rc0
Object	string	instance	agree	rc0
Object	unsetMethod	instance	exempt	private on Object -- measured, a send from outside a method answers 97.2, Object 'a K' cannot accept private message 'UNSETMETHOD' from this context, and self~unsetMethod from inside one works
Object	||	instance	agree	rc0
Package	addClass	instance	agree	rc0
Package	addPackage	instance	agree	rc0
Package	addPublicClass	instance	agree	rc0
Package	addPublicRoutine	instance	agree	rc0
Package	addRoutine	instance	agree	rc0
Package	annotation	instance	agree	rc0
Package	annotations	instance	agree	rc0
Package	classes	instance	agree	rc0
Package	defaultOptions	class	agree	rc0
Package	definedMethods	instance	agree	rc0
Package	digits	instance	agree	rc0
Package	findClass	instance	agree	rc0
Package	findNamespace	instance	agree	rc0
Package	findProgram	instance	agree	rc0
Package	findPublicClass	instance	agree	rc0
Package	findPublicRoutine	instance	agree	rc0
Package	findRoutine	instance	agree	rc0
Package	form	instance	agree	rc0
Package	fuzz	instance	agree	rc0
Package	importedClasses	instance	agree	rc0
Package	importedPackages	instance	agree	rc0
Package	importedRoutines	instance	agree	rc0
Package	loadLibrary	instance	send-differs	oracle rc0 VALUE 1; crate rc120 rexx-exec: a native library load is not implemented (Phase 7)
Package	loadPackage	instance	agree	rc0
Package	local	instance	agree	rc0
Package	name	instance	agree	rc0
Package	namespaces	instance	agree	rc0
Package	new	class	agree	rc0
Package	options	instance	agree	rc0
Package	prolog	instance	agree	rc0
Package	publicClasses	instance	agree	rc0
Package	publicRoutines	instance	agree	rc0
Package	resource	instance	agree	rc0
Package	resources	instance	agree	rc0
Package	routines	instance	agree	rc0
Package	setSecurityManager	instance	send-differs	oracle rc0 VALUE 1; crate rc120 rexx-exec: a security manager is not implemented (D12, Phase 7)
Package	source	instance	agree	rc0
Package	sourceLine	instance	agree	rc0
Package	sourceSize	instance	agree	rc0
Package	trace	instance	agree	rc0
Pointer	new	class	agree	rc0
RexxContext	args	instance	agree	rc0
RexxContext	condition	instance	agree	rc0
RexxContext	digits	instance	agree	rc0
RexxContext	executable	instance	agree	rc0
